N,T1,T2,T3,T4,LR,M,E
0,0,0,1,0,R,B,0
1,0,0,1,0,R,B,0
2,0,0,1,0,L,C,0
3,0,1,0,0,R,A,0
4,1,0,0,0,L,A,0
5,0,0,0,1,R,C,0
6,0,1,0,0,L,B,0
7,0,0,0,1,R,C,0
8,1,0,0,0,L,A,0
9,1,0,0,0,L,A,0
10,0,0,0,1,R,C,0
11,0,1,0,0,L,B,0
12,0,1,0,0,L,B,0
13,0,0,0,1,R,C,0
14,0,1,0,0,R,A,0
15,0,1,0,0,L,B,0
16,1,0,0,0,L,A,0
17,1,0,0,0,L,A,0
18,0,1,0,0,L,B,0
19,1,0,0,0,L,A,0
20,0,0,0,1,R,C,0
21,0,1,0,0,L,B,0
22,0,0,0,1,R,C,0
23,0,0,1,0,L,C,0
24,0,0,1,0,L,C,0
25,0,1,0,0,R,A,0
26,0,1,0,0,L,B,0
27,0,0,1,0,L,C,0
28,0,1,0,0,R,A,0
29,0,1,0,0,L,B,0
